"거주지역별(1)","성별(1)",2012,2012,2012,2012,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020
"거주지역별(1)","성별(1)",총계,30세미만,30~39세,40~49세,50~59세,60~69세,70~79세,80세이상,사망자,총계,30세미만,30~39세,40~49세,50~59세,60~69세,70~79세,80세이상,사망자,총계,30세미만,30~39세,40~49세,50~59세,60~69세,70~79세,80세이상,사망자,총계,30세미만,30~39세,40~49세,50~59세,60~69세,70~79세,80세이상,사망자,총계,30세미만,30~39세,40~49세,50~59세,60~69세,70~79세,80세이상,사망자,총계,30세미만,30~39세,40~49세,50~59세,60~69세,70~79세,80세이상,사망자,총계,30세미만,30~39세,40~49세,50~59세,60~69세,70~79세,80세이상,사망자,총계,30세미만,30~39세,40~49세,50~59세,60~69세,70~79세,80세이상,사망자,총계,30세미만,30~39세,40~49세,50~59세,60~69세,70~79세,80세이상,사망자
"부산광역시","여자",386942,8879,55813,96087,112634,67440,35424,7538,3127,407684,7985,54351,97922,119669,73839,41259,9319,3340,419002,7341,53078,99975,122277,78713,43768,10276,3574,438505,8254,52917,101834,125229,87742,46788,12119,3622,449084,7851,52367,101782,127003,94547,48174,13671,3689,459799,7645,50653,100539,127965,100804,52651,15581,3961,466444,7119,47820,97835,129126,105863,56696,17634,4351,473007,6567,43965,95617,129345,111918,60735,20074,4786,484197,6753,41470,95548,128005,120451,64335,22625,5010
"대구광역시","총계",594293,11641,90101,159545,159789,98363,55576,11170,8108,611890,10947,89773,161476,164894,102672,60641,13013,8474,623401,10214,87882,163950,169137,106520,62886,13919,8893,639235,10979,85017,163718,172457,115349,65519,16574,9622,653026,10384,84104,164066,175563,123203,66796,19040,9870,671684,10968,84329,165173,179524,129745,70855,21476,9614,683423,11174,83708,162038,184010,133976,74500,24030,9987,690770,10932,79337,159955,185774,139873,78287,27019,9593,698114,10879,73946,157668,186209,148216,81304,29957,9935
"대구광역시","남자",342198,6685,51947,88828,91654,58231,32140,6156,6557,348109,6333,51842,88556,92935,59659,34864,7072,6848,350796,5983,51107,89026,93462,60981,35666,7374,7197,356387,6389,49670,88440,93603,65041,36790,8704,7750,360678,6098,49602,88296,93682,68178,37023,9935,7864,367859,6482,50277,88844,94078,70689,38752,11096,7641,371500,6478,50289,87371,95029,71916,40135,12437,7845,371768,6286,48012,86421,94628,73625,41514,13809,7473,372185,6185,44947,85564,93844,76354,42638,15013,7640
"대구광역시","여자",252095,4956,38154,70717,68135,40132,23436,5014,1551,263781,4614,37931,72920,71959,43013,25777,5941,1626,272605,4231,36775,74924,75675,45539,27220,6545,1696,282848,4590,35347,75278,78854,50308,28729,7870,1872,292348,4286,34502,75770,81881,55025,29773,9105,2006,303825,4486,34052,76329,85446,59056,32103,10380,1973,311923,4696,33419,74667,88981,62060,34365,11593,2142,319002,4646,31325,73534,91146,66248,36773,13210,2120,325929,4694,28999,72104,92365,71862,38666,14944,2295
"인천광역시","총계",677829,20233,123261,189263,181695,93734,50054,10920,8669,695488,17369,118060,190686,192363,99380,55548,13074,9008,709536,16256,115609,192712,198227,104903,58255,14116,9458,732615,17631,116952,193975,204251,114070,60669,16044,9023,746413,16665,114762,193511,208113,122140,63441,18449,9332,763252,16933,112201,194828,212142,129848,68012,20326,8962,780533,16910,110551,193674,217411,138325,71445,22881,9336,791488,15939,104222,192116,220468,148165,75393,25610,9575,803261,16330,97222,191658,220019,161266,79230,28088,9448
"인천광역시","남자",387338,10597,72587,106825,104236,53892,26995,5503,6703,394998,9122,69695,106835,109157,56770,30009,6437,6973,398844,8608,68345,107014,110335,59145,31297,6762,7338,407800,9343,69416,107129,111512,63318,32359,7717,7006,412015,8825,68323,106573,111955,66787,33542,8819,7191,417893,8882,66904,107368,112254,70196,35700,9706,6883,424105,8891,65714,107261,113236,73733,37268,10916,7086,427231,8310,61754,107171,113625,78043,39077,12084,7167,430338,8495,57320,107703,112470,83588,40669,13067,7026
"인천광역시","여자",290491,9636,50674,82438,77459,39842,23059,5417,1966,300490,8247,48365,83851,83206,42610,25539,6637,2035,310692,7648,47264,85698,87892,45758,26958,7354,2120,324815,8288,47536,86846,92739,50752,28310,8327,2017,334398,7840,46439,86938,96158,55353,29899,9630,2141,345359,8051,45297,87460,99888,59652,32312,10620,2079,356428,8019,44837,86413,104175,64592,34177,11965,2250,364257,7629,42468,84945,106843,70122,36316,13526,2408,372923,7835,39902,83955,107549,77678,38561,15021,2422
"광주광역시","총계",348858,9569,64527,97662,81738,52507,30450,6499,5906,354659,8331,61201,98997,85947,54104,32608,7371,6100,373513,8254,61996,105032,92186,57399,34151,8144,6351,386295,8715,62407,106943,95553,61440,35923,9260,6054,393535,8066,59862,107212,99482,64460,37600,10707,6146,399189,7966,57105,107398,101452,67059,40068,11884,6257,406703,8465,56703,105963,104883,69594,41916,13217,5962,414198,8522,54170,105585,107579,73588,44173,14901,5680,419407,8512,50792,104631,107970,78791,46019,16651,6041
"광주광역시","남자",192837,5313,35484,51388,44784,30348,17275,3481,4764,194360,4655,33945,51403,46417,30839,18342,3850,4909,203657,4632,34757,54343,49296,32400,19002,4122,5105,208743,4885,35597,54950,50154,33767,19889,4671,4830,211029,4546,34404,54958,51413,34778,20656,5381,4893,212848,4459,33168,55154,51701,35730,21763,5918,4955,214953,4743,33203,54653,52503,36249,22381,6565,4656,217349,4762,31893,54868,53267,37616,23144,7375,4424,218556,4686,29932,54734,53042,39598,23825,8123,4616
"광주광역시","여자",156021,4256,29043,46274,36954,22159,13175,3018,1142,160299,3676,27256,47594,39530,23265,14266,3521,1191,169856,3622,27239,50689,42890,24999,15149,4022,1246,177552,3830,26810,51993,45399,27673,16034,4589,1224,182506,3520,25458,52254,48069,29682,16944,5326,1253,186341,3507,23937,52244,49751,31329,18305,5966,1302,191750,3722,23500,51310,52380,33345,19535,6652,1306,196849,3760,22277,50717,54312,35972,21029,7526,1256,200851,3826,20860,49897,54928,39193,22194,8528,1425
