"행정구역(시군구)별",2022.07,2022.07,2022.07,2022.08,2022.08,2022.08,2022.09,2022.09,2022.09,2004,2004,2004,2005,2005,2005,2006,2006,2006,2007,2007,2007,2008,2008,2008,2009,2009,2009,2010,2010,2010,2011,2011,2011,2012,2012,2012,2013,2013,2013,2014,2014,2014,2015,2015,2015,2016,2016,2016,2017,2017,2017,2018,2018,2018,2019,2019,2019,2020,2020,2020,2021,2021,2021
"행정구역(시군구)별",총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명)
"전국",51574446,25708650,25865796,51558441,25699579,25858862,51466658,25653998,25812660,48583805,24363083,24220722,48782274,24456234,24326040,48991779,24557004,24434775,49268928,24691249,24577679,49540367,24822897,24717470,49773145,24929939,24843206,50515666,25310385,25205281,50734284,25406934,25327350,50948272,25504060,25444212,51141463,25588336,25553127,51327916,25669296,25658620,51529338,25758186,25771152,51696216,25827594,25868622,51778544,25855919,25922625,51826059,25866129,25959930,51849861,25864816,25985045,51829023,25841029,25987994,51638809,25746684,25892125
"서울특별시",9493211,4604405,4888806,9488454,4601295,4887159,9450768,4582361,4868407,10173162,5074686,5098476,10167344,5062492,5104852,10181166,5062107,5119059,10192710,5063188,5129522,10200827,5061809,5139018,10208302,5059269,5149033,10312545,5111259,5201286,10249679,5073899,5175780,10195318,5041336,5153982,10143645,5007869,5135776,10103233,4979768,5123465,10022181,4930943,5091238,9930616,4876789,5053827,9857426,4830206,5027220,9765623,4773899,4991724,9729107,4744059,4985048,9668465,4701723,4966742,9509458,4618040,4891418
"부산광역시",3334595,1629643,1704952,3331444,1627821,1703623,3323826,1623784,1700042,3666345,1828634,1837711,3638293,1812599,1825694,3611992,1798940,1813052,3587439,1785903,1801536,3564577,1773154,1791423,3543030,1761202,1781828,3567910,1773170,1794740,3550963,1762848,1788115,3538484,1754479,1784005,3527635,1747000,1780635,3519401,1740417,1778984,3513777,1735570,1778207,3498529,1725607,1772922,3470653,1709508,1761145,3441453,1692421,1749032,3413841,1675417,1738424,3391946,1661000,1730946,3350380,1639044,1711336
"대구광역시",2374120,1168845,1205275,2371936,1167564,1204372,2367735,1165326,1202409,2524712,1266254,1258458,2511306,1259092,1252214,2496115,1250849,1245266,2493261,1248233,1245028,2492724,1246873,1245851,2489781,1243878,1245903,2511676,1255245,1256431,2507271,1251577,1255694,2505644,1249320,1256324,2501588,1246071,1255517,2493264,1241119,1252145,2487829,1237291,1250538,2484557,1234169,1250388,2475231,1227814,1247417,2461769,1219342,1242427,2438031,1205286,1232745,2418346,1193109,1225237,2385412,1175632,1209780
"인천광역시",2960580,1482177,1478403,2963117,1483370,1479747,2960097,1481896,1478201,2578817,1300343,1278474,2600495,1310759,1289736,2624391,1323375,1301016,2664576,1342975,1321601,2692696,1356473,1336223,2710579,1364809,1345770,2758296,1390356,1367940,2801274,1410980,1390294,2843981,1431593,1412388,2879782,1448835,1430947,2902608,1459074,1443534,2925815,1469869,1455946,2943069,1477671,1465398,2948542,1479597,1468945,2954642,1481844,1472798,2957026,1482249,1474777,2942828,1473943,1468885,2948375,1476373,1472002
"광주광역시",1434703,709305,725398,1434397,709090,725307,1432856,708248,724608,1401172,695479,705693,1401745,695687,706058,1407798,698664,709134,1413444,701561,711883,1422702,705817,716885,1433640,711091,722549,1454636,721780,732856,1463464,725606,737858,1469216,728406,740810,1472910,730216,742694,1475884,731339,744545,1472199,729662,742537,1469214,728137,741077,1463770,725295,738475,1459336,722581,736755,1456468,720740,735728,1450062,717348,732714,1441611,713015,728596
"대전광역시",1448182,722366,725816,1448240,722486,725754,1446602,721604,724998,1443471,724588,718883,1454638,729818,724820,1466158,735595,730563,1475659,739472,736187,1480895,741611,739284,1484180,743121,741059,1503664,753648,750016,1515603,759188,756415,1524583,763671,760912,1532811,767309,765502,1531809,766497,765312,1518775,759778,758997,1514370,757289,757081,1502227,750969,751258,1489936,744338,745598,1474870,736607,738263,1463882,730699,733183,1452251,724626,727625
"울산광역시",1114753,572615,542138,1113458,571867,541591,1112191,571248,540943,1081453,555660,525793,1087648,558866,528782,1092494,561611,530883,1099995,565897,534098,1112407,572815,539592,1114866,573607,541259,1126298,579071,547227,1135494,583825,551669,1147256,590424,556832,1156480,595319,561161,1166377,600904,565473,1173534,604889,568645,1172304,603797,568507,1165132,599480,565652,1155623,593819,561804,1148019,589712,558307,1136017,583708,552309,1121592,576217,545375
