,housing,전국,서울특별시,부산광역시,대구광역시,인천광역시,광주광역시,대전광역시,울산광역시,세종특별자치시,경기도,강원도,충청북도,충청남도,전라북도,전라남도,경상북도,경상남도,제주특별자치도
2012,총주택,15300616,2625657,1078853,703026,892303,458037,443787,326379,39325,3401339,547769,520489,708475,661515,707639,949692,1064715,171616
2013,총주택,15624928,2686621,1111427,715499,905209,467333,449622,332697,40439,3485881,552576,530845,721768,669758,721444,963566,1088659,181584
2014,총주택,15920906,2699568,1133236,716961,920575,477400,459481,344461,60557,3571076,560843,543324,741405,679594,739093,978667,1108750,185915
2015,총주택,16367006,2793244,1164352,738100,942244,486527,468885,357674,81130,3693557,569899,556951,754372,687103,747621,995385,1134738,195224
2016,총주택,16692230,2830857,1174034,761054,958072,494547,474193,361273,86607,3814834,575967,568567,776746,692563,755044,1009941,1151057,206874
2017,총주택,17122573,2866845,1200422,783895,969588,505471,479161,371300,104448,3949829,586383,581855,805555,698264,766231,1038274,1193912,221140
2018,총주택,17633327,2894078,1220782,792998,997959,514767,486764,379741,118959,4169100,603644,607686,835752,712850,777966,1060505,1226708,233068
2019,총주택,18126954,2953964,1249757,800340,1019365,526161,492797,391596,132257,4354776,627376,625957,850525,724524,787816,1081216,1266739,241788
2020,총주택,18525844,3015371,1275859,809802,1032774,538275,496875,394634,136887,4495115,644023,640256,865008,741221,802043,1094306,1296944,246451
