"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2001- 06- 01","19.06","23.02","24.42","18.83","","-15.81%"
"2001- 05- 01","22.64","25.46","26.49","20.46","","-11.15%"
"2001- 04- 01","25.48","29.40","35.20","23.01","","-11.03%"
"2001- 03- 01","28.64","29.66","35.45","24.12","","1.02%"
"2001- 02- 01","28.35","22.39","30.62","20.22","","28.75%"
"2001- 01- 01","22.02","27.93","30.80","21.47","","-17.99%"
"2000- 12- 01","26.85","28.31","32.32","22.38","","-9.44%"
"2000- 11- 01","29.65","24.07","31.11","23.51","","25.48%"
"2000- 10- 01","23.63","20.98","30.80","20.41","","14.88%"
"2000- 09- 01","20.57","16.81","22.66","16.47","","22.15%"
"2000- 08- 01","16.84","20.66","20.84","16.28","","-18.80%"
"2000- 07- 01","20.74","20.51","21.65","18.77","","6.14%"
"2000- 06- 01","19.54","23.20","25.01","19.39","","-17.38%"
"2000- 05- 01","23.65","26.07","32.89","23.23","","-9.73%"
"2000- 04- 01","26.20","24.99","34.31","23.25","","8.67%"
"2000- 03- 01","24.11","22.65","25.87","19.19","","3.17%"
"2000- 02- 01","23.37","24.43","28.12","20.69","","-6.33%"
"2000- 01- 01","24.95","24.36","29.00","19.51","","1.26%"
"1999- 12- 01","24.64","23.41","25.20","18.69","","1.90%"
"1999- 11- 01","24.18","22.70","24.29","18.64","","8.92%"
"1999- 10- 01","22.20","25.58","29.81","20.30","","-12.63%"
"1999- 09- 01","25.41","23.86","29.21","20.87","","3.93%"
"1999- 08- 01","24.45","25.75","30.00","20.12","","-0.77%"
"1999- 07- 01","24.64","20.57","25.74","17.07","","16.83%"
"1999- 06- 01","21.09","27.12","27.99","20.67","","-16.94%"
"1999- 05- 01","25.39","24.41","29.62","24.05","","1.28%"
"1999- 04- 01","25.07","22.87","26.50","20.47","","7.78%"
"1999- 03- 01","23.26","29.34","29.90","22.00","","-16.57%"
"1999- 02- 01","27.88","27.21","31.75","25.22","","6.21%"
"1999- 01- 01","26.25","25.38","33.66","21.38","","7.49%"
"1998- 12- 01","24.42","27.38","31.67","20.08","","-6.11%"
"1998- 11- 01","26.01","28.31","30.56","21.24","","-7.27%"
"1998- 10- 01","28.05","41.90","49.53","27.54","","-31.50%"
"1998- 09- 01","40.95","41.74","48.06","32.44","","-7.52%"
"1998- 08- 01","44.28","26.15","45.02","25.35","","78.55%"
"1998- 07- 01","24.80","18.99","26.68","16.10","","25.82%"
"1998- 06- 01","19.71","22.71","26.49","18.93","","-7.55%"
"1998- 05- 01","21.32","20.72","25.10","18.60","","0.66%"
"1998- 04- 01","21.18","24.85","27.47","19.25","","-12.55%"
"1998- 03- 01","24.22","18.97","24.92","17.58","","30.57%"
"1998- 02- 01","18.55","21.32","21.90","18.39","","-13.60%"
"1998- 01- 01","21.47","24.34","31.08","20.55","","-10.58%"
"1997- 12- 01","24.01","27.86","33.08","20.41","","-12.47%"
"1997- 11- 01","27.43","32.18","38.46","26.42","","-21.83%"
"1997- 10- 01","35.09","22.95","48.64","19.28","","53.16%"
"1997- 09- 01","22.91","25.85","27.33","21.43","","-7.47%"
"1997- 08- 01","24.76","21.29","26.31","19.33","","15.27%"
"1997- 07- 01","21.48","21.54","23.71","17.82","","-0.23%"
"1997- 06- 01","21.53","21.08","22.28","18.20","","12.19%"
