발표일,실제
2008년 01월 16일 (12월),4.10%
2007년 12월 14일 (11월),4.30%
2007년 11월 15일 (10월),3.50%
2007년 10월 17일 (9월),2.80%
2007년 09월 19일 (8월),2.00%
2007년 08월 15일 (7월),2.40%
2007년 07월 18일 (6월),2.70%
2007년 06월 15일 (5월),2.70%
2007년 05월 15일 (4월),2.60%
2007년 04월 17일 (3월),2.80%
2007년 03월 16일 (2월),2.40%
2007년 02월 21일 (1월),2.10%
2007년 01월 18일 (12월),2.50%
2006년 12월 15일 (11월),2.00%
2006년 11월 16일 (10월),1.30%
2006년 10월 18일 (9월),2.10%
2006년 09월 15일 (8월),3.80%
2006년 08월 16일 (7월),4.10%
2006년 07월 19일 (6월),4.30%
2006년 06월 14일 (5월),4.20%
2006년 05월 17일 (4월),3.50%
2006년 04월 19일 (3월),3.40%
2006년 03월 16일 (2월),3.60%
2006년 02월 22일 (1월),4.00%
2006년 01월 18일 (12월),3.40%
2005년 12월 15일 (11월),3.50%
2005년 11월 16일 (10월),4.30%
2005년 10월 14일 (9월),4.70%
2005년 09월 15일 (8월),3.60%
2005년 08월 16일 (7월),3.20%
2005년 07월 14일 (6월),2.50%
2005년 06월 15일 (5월),2.80%
2005년 05월 18일 (4월),3.50%
2005년 04월 20일 (3월),3.10%
2005년 03월 23일 (2월),3.00%
2005년 02월 23일 (1월),3.00%
2005년 01월 19일 (12월),3.30%
2004년 12월 01일 (11월),3.50%
2004년 11월 01일 (10월),3.20%
2004년 10월 01일 (9월),2.50%
2004년 09월 01일 (8월),2.70%
2004년 08월 01일 (7월),3.00%
2004년 07월 01일 (6월),3.30%
2004년 06월 01일 (5월),3.10%
2004년 05월 01일 (4월),2.30%
2004년 04월 01일 (3월),1.70%
2004년 03월 01일 (2월),1.70%
2004년 02월 01일 (1월),1.90%
2004년 01월 01일 (12월),1.90%
2003년 12월 01일 (11월),1.80%
2003년 11월 01일 (10월),2.00%
2003년 10월 01일 (9월),2.30%
2003년 09월 01일 (8월),2.20%
2003년 08월 01일 (7월),2.10%
2003년 07월 01일 (6월),2.10%
2003년 06월 01일 (5월),2.10%
2003년 05월 01일 (4월),2.20%
2003년 04월 01일 (3월),3.00%
2003년 03월 01일 (2월),3.00%
2003년 02월 01일 (1월),2.60%
2003년 01월 01일 (12월),2.40%
2002년 12월 01일 (11월),2.20%
2002년 11월 01일 (10월),2.00%
2002년 10월 01일 (9월),1.50%
2002년 09월 01일 (8월),1.80%
2002년 08월 01일 (7월),1.50%
2002년 07월 01일 (6월),1.10%
2002년 06월 01일 (5월),1.20%
2002년 05월 01일 (4월),1.60%
2002년 04월 01일 (3월),1.50%
2002년 03월 01일 (2월),1.10%
2002년 02월 01일 (1월),1.10%
2002년 01월 01일 (12월),1.60%
