"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2018- 05- 01","1,120.71","1,161.69","1,170.60","1,110.44","","-3.75%"
"2018- 04- 01","1,164.43","1,173.62","1,186.60","1,137.25","","-0.55%"
"2018- 03- 01","1,170.87","1,192.52","1,228.48","1,159.46","","-2.03%"
"2018- 02- 01","1,195.19","1,253.77","1,258.55","1,136.27","","-4.73%"
"2018- 01- 01","1,254.59","1,159.53","1,278.53","1,157.55","","8.30%"
"2017- 12- 01","1,158.45","1,120.48","1,160.06","1,098.10","","3.36%"
"2017- 11- 01","1,120.79","1,119.94","1,160.66","1,110.92","","0.15%"
"2017- 10- 01","1,119.08","1,082.30","1,132.45","1,081.28","","3.45%"
"2017- 09- 01","1,081.72","1,088.43","1,114.09","1,071.79","","-0.55%"
"2017- 08- 01","1,087.70","1,065.83","1,088.83","1,039.97","","2.01%"
"2017- 07- 01","1,066.23","1,011.02","1,072.50","1,001.69","","5.48%"
"2017- 06- 01","1,010.80","1,006.36","1,023.17","1,000.05","","0.54%"
"2017- 05- 01","1,005.33","978.77","1,018.50","972.95","","2.80%"
"2017- 04- 01","977.96","960.40","986.26","950.99","","2.04%"
"2017- 03- 01","958.37","934.50","979.75","920.59","","2.35%"
"2017- 02- 01","936.37","911.05","956.64","909.10","","2.98%"
"2017- 01- 01","909.23","860.73","918.90","858.02","","5.45%"
"2016- 12- 01","862.27","860.96","879.69","840.27","","-0.06%"
"2016- 11- 01","862.83","904.25","908.71","837.12","","-4.67%"
"2016- 10- 01","905.09","904.01","920.24","888.20","","0.18%"
"2016- 09- 01","903.46","893.10","929.99","882.04","","1.09%"
"2016- 08- 01","893.68","874.56","919.43","865.38","","2.31%"
"2016- 07- 01","873.47","833.54","877.02","817.24","","4.72%"
"2016- 06- 01","834.10","807.41","844.50","792.31","","3.30%"
"2016- 05- 01","807.45","839.24","839.50","780.68","","-3.90%"
"2016- 04- 01","840.19","835.49","855.78","804.11","","0.41%"
"2016- 03- 01","836.80","738.96","838.53","738.96","","13.03%"
"2016- 02- 01","740.33","742.38","751.64","707.54","","-0.27%"
"2016- 01- 01","742.37","794.02","794.34","686.74","","-6.52%"
"2015- 12- 01","794.14","815.11","826.94","765.93","","-2.48%"
"2015- 11- 01","814.30","848.37","872.78","811.17","","-3.96%"
"2015- 10- 01","847.84","792.51","870.86","792.25","","7.04%"
"2015- 09- 01","792.05","819.12","833.59","769.72","","-3.26%"
"2015- 08- 01","818.73","900.07","900.07","762.71","","-9.20%"
"2015- 07- 01","901.68","971.74","976.00","888.00","","-7.26%"
"2015- 06- 01","972.25","1,003.26","1,006.64","956.96","","-3.18%"
"2015- 05- 01","1,004.22","1,047.28","1,049.20","1,003.38","","-4.16%"
"2015- 04- 01","1,047.78","974.58","1,069.13","972.85","","7.51%"
"2015- 03- 01","974.57","990.86","993.22","936.40","","-1.59%"
"2015- 02- 01","990.28","959.90","997.74","957.61","","2.98%"
"2015- 01- 01","961.61","956.67","994.06","929.27","","0.55%"
"2014- 12- 01","956.31","1,001.43","1,001.43","906.25","","-4.82%"
"2014- 11- 01","1,004.72","1,014.15","1,017.61","983.61","","-1.12%"
"2014- 10- 01","1,016.07","1,004.73","1,016.28","965.93","","1.07%"
"2014- 09- 01","1,005.33","1,088.30","1,104.31","1,002.51","","-7.59%"
"2014- 08- 01","1,087.88","1,063.58","1,097.86","1,041.98","","2.07%"
"2014- 07- 01","1,065.77","1,049.82","1,084.59","1,049.13","","1.43%"
"2014- 06- 01","1,050.78","1,027.40","1,058.24","1,026.79","","2.25%"
"2014- 05- 01","1,027.69","996.13","1,043.54","995.68","","3.26%"
"2014- 04- 01","995.28","993.35","1,023.12","991.28","","0.06%"
"2014- 03- 01","994.65","965.79","994.65","932.21","","2.92%"
"2014- 02- 01","966.42","934.74","967.83","913.65","","3.19%"
"2014- 01- 01","936.53","1,002.96","1,004.05","929.17","","-6.60%"
"2013- 12- 01","1,002.69","1,018.00","1,021.06","985.54","","-1.53%"
"2013- 11- 01","1,018.28","1,033.16","1,033.55","977.02","","-1.56%"
"2013- 10- 01","1,034.42","987.61","1,047.73","987.60","","4.76%"
"2013- 09- 01","987.46","929.52","1,027.52","928.89","","6.23%"
"2013- 08- 01","929.54","949.85","969.29","905.48","","-1.90%"
"2013- 07- 01","947.55","938.43","972.27","904.82","","0.77%"
"2013- 06- 01","940.33","1,007.47","1,008.67","877.73","","-6.79%"
"2013- 05- 01","1,008.88","1,039.05","1,064.68","1,004.18","","-2.94%"
"2013- 04- 01","1,039.45","1,034.97","1,039.71","994.70","","0.44%"
