DateTime,Value
2017-11-16,15154
2017-11-17,15146
2017-11-18,15155
2017-11-19,15156
2017-11-20,15207
2017-11-21,15208
2017-11-22,15217
2017-11-23,15216
2017-11-24,15222
2017-11-25,15226
2017-11-26,15218
2017-11-27,15238
2017-11-28,15278
2017-11-29,15295
2017-11-30,15308
2017-12-01,15314
2017-12-02,15327
2017-12-03,15320
2017-12-04,15324
2017-12-05,15348
2017-12-06,15363
2017-12-07,15421
2017-12-08,15423
2017-12-09,15422
2017-12-10,15429
2017-12-11,15451
2017-12-12,15449
2017-12-13,15459
2017-12-14,15435
2017-12-15,15457
2017-12-16,15459
2017-12-17,15451
2017-12-18,15451
2017-12-19,15447
2017-12-20,15437
2017-12-21,15440
2017-12-22,15439
2017-12-23,15429
2017-12-24,15429
2017-12-25,15430
2017-12-26,15434
2017-12-27,15433
2017-12-28,15434
2017-12-29,15432
2017-12-30,15434
2017-12-31,15431
2018-01-01,15431
2018-01-02,15434
2018-01-03,15435
2018-01-04,15460
2018-01-05,15487
2018-01-06,15490
2018-01-07,15500
2018-01-08,15508
2018-01-09,15519
2018-01-10,15522
2018-01-11,15555
2018-01-12,15553
2018-01-13,15560
2018-01-14,15551
2018-01-15,15542
2018-01-16,15518
2018-01-17,15521
2018-01-18,15531
2018-01-19,15544
2018-01-20,15560
2018-01-21,15587
2018-01-22,15595
2018-01-23,15611
2018-01-24,15630
2018-01-25,15631
2018-01-26,15651
2018-01-27,15656
2018-01-28,15665
2018-01-29,15662
2018-01-30,15668
2018-01-31,15676
2018-02-01,15679
2018-02-02,15688
2018-02-03,15689
2018-02-04,15691
2018-02-05,15714
2018-02-06,15716
2018-02-07,15727
2018-02-08,15735
2018-02-09,15746
2018-02-10,15746
2018-02-11,15760
2018-02-12,15773
2018-02-13,15787
2018-02-14,15821
2018-02-15,15822
2018-02-16,15838
2018-02-17,15827
2018-02-18,15838
2018-02-19,15842
2018-02-20,15855
2018-02-21,15852
2018-02-22,15860
2018-02-23,15890
2018-02-24,15902
2018-02-25,15930
2018-02-26,15933
2018-02-27,15952
2018-02-28,15958
2018-03-01,15984
2018-03-02,15992
2018-03-03,16019
2018-03-04,16021
2018-03-05,16032
2018-03-06,16044
2018-03-07,16049
2018-03-08,16061
2018-03-09,16071
2018-03-10,16080
2018-03-11,16081
2018-03-12,16094
2018-03-13,16104
2018-03-14,16107
2018-03-15,16098
2018-03-16,16101
2018-03-17,16102
2018-03-18,16100
2018-03-19,16109
2018-03-20,16122
2018-03-21,16138
2018-03-22,16158
2018-03-23,16208
2018-03-24,16208
2018-03-25,16215
2018-03-26,16220
2018-03-27,16224
2018-03-28,16244
2018-03-29,16237
2018-03-30,16228
2018-03-31,16227
2018-04-01,16235
2018-04-02,16266
2018-04-03,16283
2018-04-04,16323
2018-04-05,16347
2018-04-06,16380
2018-04-07,16382
2018-04-08,16389
2018-04-09,16414
2018-04-10,16425
2018-04-11,16436
2018-04-12,16472
2018-04-13,16500
2018-04-14,16503
2018-04-15,16502
2018-04-16,16536
2018-04-17,16545
2018-04-18,16539
2018-04-19,16550
2018-04-20,16532
2018-04-21,16554
2018-04-22,16561
2018-04-23,16580
2018-04-24,16658
2018-04-25,16658
2018-04-26,16648
2018-04-27,16660
2018-04-28,16661
2018-04-29,16674
2018-04-30,16671
2018-05-01,16698
2018-05-02,16724
2018-05-03,16730
2018-05-04,16720
2018-05-05,16730
2018-05-06,16738
2018-05-07,16736
2018-05-08,16727
2018-05-09,16765
2018-05-10,16780
2018-05-11,16772
2018-05-12,16776
2018-05-13,16779
2018-05-14,16773
2018-05-15,16769
2018-05-16,16781
2018-05-17,16792
2018-05-18,16797
2018-05-19,16801
2018-05-20,16803
2018-05-21,16821
2018-05-22,16837
2018-05-23,16848
2018-05-24,16866
2018-05-25,16868
2018-05-26,16877
2018-05-27,16897
2018-05-28,16899
2018-05-29,16910
2018-05-30,16913
2018-05-31,16916
2018-06-01,16933
2018-06-02,16954
2018-06-03,16958
2018-06-04,16941
2018-06-05,16975
2018-06-06,16968
2018-06-07,16979
2018-06-08,16995
2018-06-09,16995
2018-06-10,16994
2018-06-11,17013
2018-06-12,17022
2018-06-13,17035
2018-06-14,17031
2018-06-15,17049
2018-06-16,17085
2018-06-17,17088
2018-06-18,17101
2018-06-19,17130
2018-06-20,17162
2018-06-21,17181
2018-06-22,17193
2018-06-23,17198
2018-06-24,17202
2018-06-25,17214
2018-06-26,17226
2018-06-27,17213
2018-06-28,17213
2018-06-29,17216
2018-06-30,17216
2018-07-01,17234
2018-07-02,17263
2018-07-03,17269
2018-07-04,17264
2018-07-05,17277
2018-07-06,17279
2018-07-07,17272
2018-07-08,17270
2018-07-09,17267
2018-07-10,17262
2018-07-11,17288
2018-07-12,17349
2018-07-13,17358
2018-07-14,17370
2018-07-15,17372
2018-07-16,17397
2018-07-17,17364
2018-07-18,17366
2018-07-19,17367
2018-07-20,17365
2018-07-21,17354
2018-07-22,17363
2018-07-23,17363
2018-07-24,17362
2018-07-25,17366
2018-07-26,17360
2018-07-27,17379
2018-07-28,17384
2018-07-29,17371
2018-07-30,17370
2018-07-31,17392
2018-08-01,17407
2018-08-02,17491
2018-08-03,17502
2018-08-04,17519
2018-08-05,17515
2018-08-06,17511
2018-08-07,17523
2018-08-08,17543
2018-08-09,17548
2018-08-10,17628
2018-08-11,17595
2018-08-12,17595
2018-08-13,17639
2018-08-14,17641
2018-08-15,17676
2018-08-16,17677
2018-08-17,17671
2018-08-18,17698
2018-08-19,17709
2018-08-20,17668
2018-08-21,17821
2018-08-22,17816
2018-08-23,17827
2018-08-24,17842
2018-08-25,17838
2018-08-26,17832
2018-08-27,17852
2018-08-28,17859
2018-08-29,17855
2018-08-30,17860
2018-08-31,17875
2018-09-01,17875
2018-09-02,17893
2018-09-03,17891
2018-09-04,17890
2018-09-05,17869
2018-09-06,17906
2018-09-07,17913
2018-09-08,17914
2018-09-09,17912
2018-09-10,17942
2018-09-11,17958
2018-09-12,17953
2018-09-13,17962
2018-09-14,17959
2018-09-15,17946
2018-09-16,17966
2018-09-17,17954
2018-09-18,17958
2018-09-19,17945
2018-09-20,17946
2018-09-21,17873
2018-09-22,17855
2018-09-23,17879
2018-09-24,17864
2018-09-25,17895
2018-09-26,17942
2018-09-27,17936
2018-09-28,17933
2018-09-29,17955
2018-09-30,17950
2018-10-01,17956
2018-10-02,17949
2018-10-03,17933
2018-10-04,17943
2018-10-05,17946
2018-10-06,17920
2018-10-07,17930
2018-10-08,17945
2018-10-09,17948
2018-10-10,17949
