"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2015- 07- 01","17,689.86","17,638.12","18,137.12","17,399.17","2.03B","0.40%"
"2015- 06- 01","17,619.51","18,017.82","18,188.81","17,576.50","2.22B","-2.17%"
"2015- 05- 01","18,010.68","17,859.27","18,351.36","17,733.12","1.83B","0.95%"
"2015- 04- 01","17,840.52","17,778.52","18,175.56","17,585.01","2.17B","0.36%"
"2015- 03- 01","17,776.12","18,134.05","18,288.63","17,579.27","2.47B","-1.97%"
"2015- 02- 01","18,132.70","17,169.99","18,244.38","17,037.76","1.75B","5.64%"
"2015- 01- 01","17,164.95","17,823.07","17,951.78","17,136.30","2.17B","-3.69%"
"2014- 12- 01","17,823.07","17,827.27","18,103.45","17,067.59","2.22B","-0.03%"
"2014- 11- 01","17,828.24","17,390.90","17,894.83","17,278.36","1.52B","2.52%"
"2014- 10- 01","17,390.52","17,040.46","17,395.54","15,855.12","2.31B","2.04%"
"2014- 09- 01","17,042.90","17,097.42","17,350.64","16,934.43","1.87B","-0.32%"
"2014- 08- 01","17,098.45","16,561.70","17,153.80","16,333.78","1.48B","3.23%"
"2014- 07- 01","16,563.30","16,828.53","17,151.56","16,563.30","1.69B","-1.56%"
"2014- 06- 01","16,826.60","16,716.85","16,978.02","16,673.65","1.76B","0.65%"
"2014- 05- 01","16,717.17","16,580.26","16,735.51","16,341.30","1.64B","0.82%"
"2014- 04- 01","16,580.84","16,458.05","16,631.63","16,015.32","1.99B","0.75%"
"2014- 03- 01","16,457.66","16,321.71","16,505.70","16,046.99","2.10B","0.83%"
"2014- 02- 01","16,321.71","15,697.69","16,398.95","15,340.69","2.07B","3.97%"
"2014- 01- 01","15,698.85","16,572.17","16,573.07","15,617.55","2.18B","-5.30%"
"2013- 12- 01","16,576.66","16,087.12","16,588.25","15,703.79","2.06B","3.05%"
"2013- 11- 01","16,086.41","15,558.01","16,174.51","15,522.18","1.82B","3.48%"
"2013- 10- 01","15,545.75","15,132.49","15,721.00","14,719.43","2.21B","2.75%"
"2013- 09- 01","15,129.67","14,801.55","15,709.58","14,777.48","2.37B","2.16%"
"2013- 08- 01","14,810.31","15,503.85","15,658.43","14,760.41","2.33B","-4.45%"
"2013- 07- 01","15,499.54","14,911.60","15,634.32","14,858.93","2.57B","3.96%"
"2013- 06- 01","14,909.60","15,123.55","15,340.09","14,551.27","2.93B","-1.36%"
"2013- 05- 01","15,115.57","14,839.80","15,542.40","14,687.05","2.77B","1.86%"
"2013- 04- 01","14,839.80","14,578.54","14,887.51","14,434.43","2.92B","1.79%"
"2013- 03- 01","14,578.54","14,054.49","14,585.10","13,937.60","2.55B","3.73%"
"2013- 02- 01","14,054.49","13,860.58","14,149.15","13,784.01","2.49B","1.40%"
"2013- 01- 01","13,860.58","13,104.30","13,969.99","13,104.30","2.79B","5.77%"
"2012- 12- 01","13,104.14","13,027.73","13,365.86","12,883.89","2.67B","0.60%"
"2012- 11- 01","13,025.58","13,099.19","13,290.75","12,471.49","2.68B","-0.54%"
"2012- 10- 01","13,096.46","13,437.66","13,661.87","13,039.86","2.47B","-2.54%"
"2012- 09- 01","13,437.13","13,092.15","13,653.24","12,977.09","2.70B","2.65%"
"2012- 08- 01","13,090.84","13,007.47","13,330.76","12,778.90","2.27B","0.63%"
"2012- 07- 01","13,008.68","12,879.71","13,128.64","12,492.25","2.58B","1.00%"
"2012- 06- 01","12,880.09","12,391.56","12,898.94","12,035.09","2.92B","3.93%"
"2012- 05- 01","12,393.45","13,214.16","13,338.66","12,311.56","3.05B","-6.21%"
"2012- 04- 01","13,213.63","13,211.36","13,297.11","12,710.56","2.57B","0.01%"
"2012- 03- 01","13,212.04","12,952.29","13,289.08","12,734.86","3.20B","2.01%"
"2012- 02- 01","12,952.07","12,632.76","13,055.75","12,632.76","2.71B","2.53%"
"2012- 01- 01","12,632.91","12,221.19","12,841.95","12,221.19","2.98B","3.40%"
"2011- 12- 01","12,217.56","12,046.21","12,328.47","11,735.19","3.15B","1.43%"
"2011- 11- 01","12,045.68","11,951.53","12,187.51","11,231.56","3.40B","0.76%"
"2011- 10- 01","11,955.01","10,912.10","12,284.31","10,404.49","3.91B","9.54%"
"2011- 09- 01","10,913.38","11,613.30","11,716.84","10,597.14","4.40B","-6.03%"
"2011- 08- 01","11,613.53","12,144.22","12,282.42","10,604.07","6.20B","-4.36%"
"2011- 07- 01","12,143.24","12,412.07","12,753.89","12,083.45","3.09B","-2.18%"
"2011- 06- 01","12,414.34","12,569.41","12,569.49","11,862.53","3.88B","-1.24%"
"2011- 05- 01","12,569.79","12,810.16","12,876.00","12,309.52","3.58B","-1.88%"
"2011- 04- 01","12,810.54","12,321.02","12,832.83","12,093.89","3.32B","3.98%"
"2011- 03- 01","12,319.73","12,226.49","12,383.46","11,555.48","3.85B","0.76%"
"2011- 02- 01","12,226.34","11,892.50","12,391.29","11,892.50","3.22B","2.81%"
"2011- 01- 01","11,891.93","11,577.43","12,020.52","11,573.87","3.68B","2.72%"
"2010- 12- 01","11,577.51","11,007.23","11,625.00","11,007.23","3.25B","5.19%"
"2010- 11- 01","11,006.02","11,120.30","11,451.53","10,929.28","3.81B","-1.01%"
"2010- 10- 01","11,118.49","10,789.72","11,247.60","10,711.12","3.79B","3.06%"
"2010- 09- 01","10,788.05","10,016.01","10,948.88","10,016.01","3.76B","7.72%"
"2010- 08- 01","10,014.72","10,468.82","10,719.94","9,936.62","4.12B","-4.31%"
"2010- 07- 01","10,465.94","9,773.27","10,584.99","9,614.32","4.20B","7.08%"
"2010- 06- 01","9,774.02","10,133.94","10,594.16","9,753.84","4.94B","-3.58%"
"2010- 05- 01","10,136.63","11,009.60","11,177.67","9,774.48","5.61B","-7.92%"
"2010- 04- 01","11,008.61","10,857.31","11,258.01","10,844.09","4.24B","1.40%"
"2010- 03- 01","10,856.63","10,326.10","10,955.48","10,326.10","4.39B","5.15%"
"2010- 02- 01","10,325.26","10,068.99","10,438.55","9,835.09","4.28B","2.56%"
"2010- 01- 01","10,067.33","10,430.69","10,729.89","10,043.75","4.39B","-3.46%"
"2009- 12- 01","10,428.05","10,343.82","10,580.33","10,235.63","4.17B","0.80%"
"2009- 11- 01","10,344.84","9,712.13","10,495.61","9,678.95","3.81B","6.51%"
"2009- 10- 01","9,712.73","9,711.60","10,119.47","9,430.08","5.15B","0.00%"
"2009- 09- 01","9,712.28","9,492.32","9,917.99","9,252.93","4.48B","2.27%"
"2009- 08- 01","9,496.28","9,173.65","9,630.20","9,116.52","4.04B","3.54%"
"2009- 07- 01","9,171.61","8,447.53","9,246.43","8,087.19","4.90B","8.58%"
"2009- 06- 01","8,447.00","8,501.53","8,877.93","8,259.43","5.52B","-0.63%"
"2009- 05- 01","8,500.33","8,167.41","8,591.93","8,099.31","6.73B","4.07%"
"2009- 04- 01","8,168.12","7,606.13","8,307.51","7,483.87","7.80B","7.35%"
"2009- 03- 01","7,608.92","7,056.48","7,931.33","6,469.95","10.56B","7.73%"
"2009- 02- 01","7,062.93","8,000.62","8,315.07","7,033.62","7.13B","-11.72%"
"2009- 01- 01","8,000.86","8,772.25","9,088.06","7,909.03","6.26B","-8.84%"
"2008- 12- 01","8,776.39","8,826.89","9,026.41","8,118.50","5.70B","-0.60%"
"2008- 11- 01","8,829.04","9,326.04","9,653.95","7,449.38","6.26B","-5.32%"
"2008- 10- 01","9,325.01","10,847.40","10,882.52","7,882.51","8.31B","-14.06%"
"2008- 09- 01","10,850.66","11,545.63","11,790.17","10,365.45","6.30B","-6.00%"
"2008- 08- 01","11,543.55","11,379.89","11,867.11","11,221.53","3.58B","1.45%"
"2008- 07- 01","11,378.02","11,344.64","11,698.17","10,827.71","5.52B","0.25%"
"2008- 06- 01","11,350.01","12,637.67","12,638.08","11,287.56","5.31B","-10.19%"
"2008- 05- 01","12,638.32","12,818.34","13,136.69","12,442.59","4.53B","-1.42%"
"2008- 04- 01","12,820.13","12,266.64","13,010.00","12,266.47","5.05B","4.54%"
"2008- 03- 01","12,262.89","12,264.36","12,622.07","11,731.60","6.23B","-0.03%"
"2008- 02- 01","12,266.39","12,638.17","12,767.74","12,069.47","5.72B","-3.04%"
"2008- 01- 01","12,650.36","13,261.82","13,279.54","11,634.82","7.46B","-4.63%"
"2007- 12- 01","13,264.82","13,368.22","13,780.11","13,092.00","4.31B","-0.80%"
"2007- 11- 01","13,371.72","13,924.16","13,924.16","12,724.09","5.98B","-4.01%"
"2007- 10- 01","13,930.01","13,895.71","14,198.10","13,407.49","5.01B","0.25%"
"2007- 09- 01","13,895.63","13,358.39","13,924.81","13,021.93","4.33B","4.03%"
"2007- 08- 01","13,357.74","13,211.09","13,695.82","12,517.94","6.20B","1.10%"
"2007- 07- 01","13,211.99","13,409.60","14,021.95","13,199.79","5.51B","-1.47%"
"2007- 06- 01","13,408.62","13,628.69","13,692.00","13,251.53","5.22B","-1.61%"
"2007- 05- 01","13,627.64","13,062.75","13,673.07","13,041.30","4.99B","4.32%"
"2007- 04- 01","13,062.91","12,354.52","13,162.06","12,324.28","4.82B","5.74%"
"2007- 03- 01","12,354.35","12,265.59","12,511.05","11,939.61","5.63B","0.70%"
"2007- 02- 01","12,268.63","12,617.20","12,795.93","12,086.06","4.35B","-2.80%"
"2007- 01- 01","12,621.69","12,459.54","12,657.02","12,337.37","4.99B","1.27%"
"2006- 12- 01","12,463.15","12,220.97","12,529.88","12,089.98","4.34B","1.97%"
"2006- 11- 01","12,221.93","12,080.25","12,361.00","11,965.31","4.72B","1.17%"
"2006- 10- 01","12,080.73","11,678.99","12,167.02","11,653.06","5.54B","3.44%"
"2006- 09- 01","11,679.07","11,382.75","11,741.99","11,323.84","4.49B","2.62%"
"2006- 08- 01","11,381.15","11,184.80","11,407.08","11,042.64","4.62B","1.75%"
"2006- 07- 01","11,185.68","11,149.34","11,257.08","10,683.32","5.55B","0.32%"
"2006- 06- 01","11,150.22","11,169.03","11,285.82","10,698.85","6.92B","-0.16%"
"2006- 05- 01","11,168.31","11,367.78","11,670.19","11,030.47","7.30B","-1.75%"
"2006- 04- 01","11,367.14","11,113.00","11,417.66","11,039.12","5.58B","2.32%"
"2006- 03- 01","11,109.32","10,993.25","11,334.96","10,922.73","6.68B","1.05%"
