"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2015- 07- 01","4,588.91","4,433.79","4,694.13","4,344.15","3.63B","4.37%"
"2015- 06- 01","4,396.76","4,530.03","4,561.64","4,377.23","3.54B","-2.47%"
"2015- 05- 01","4,508.25","4,437.70","4,551.52","4,349.93","3.15B","2.13%"
"2015- 04- 01","4,414.25","4,328.17","4,562.33","4,283.91","3.45B","1.86%"
"2015- 03- 01","4,333.69","4,452.80","4,483.97","4,280.95","3.86B","-2.41%"
"2015- 02- 01","4,440.67","4,162.19","4,464.31","4,094.73","3.10B","7.04%"
"2015- 01- 01","4,148.43","4,258.60","4,292.88","4,078.85","3.87B","-2.07%"
"2014- 12- 01","4,236.28","4,323.95","4,332.55","4,089.09","3.63B","-2.34%"
"2014- 11- 01","4,337.78","4,160.60","4,347.09","4,126.72","2.86B","4.32%"
"2014- 10- 01","4,158.21","4,043.33","4,170.87","3,700.22","4.76B","2.69%"
"2014- 09- 01","4,049.45","4,093.12","4,118.91","4,007.63","3.77B","-0.81%"
"2014- 08- 01","4,082.56","3,886.10","4,082.97","3,845.20","2.88B","4.88%"
"2014- 07- 01","3,892.50","3,864.14","3,997.50","3,837.16","3.46B","1.12%"
"2014- 06- 01","3,849.48","3,740.71","3,860.65","3,707.89","3.33B","3.01%"
"2014- 05- 01","3,736.82","3,589.66","3,741.57","3,506.35","3.33B","4.32%"
"2014- 04- 01","3,582.02","3,615.91","3,676.36","3,414.11","4.10B","-0.38%"
"2014- 03- 01","3,595.74","3,657.32","3,738.32","3,543.07","3.79B","-2.72%"
"2014- 02- 01","3,696.10","3,524.23","3,722.38","3,418.88","3.50B","4.95%"
"2014- 01- 01","3,521.92","3,575.60","3,634.65","3,461.64","4.05B","-1.95%"
"2013- 12- 01","3,592.00","3,496.19","3,592.00","3,422.86","3.35B","2.99%"
"2013- 11- 01","3,487.82","3,392.32","3,495.97","3,318.39","3.14B","3.26%"
"2013- 10- 01","3,377.73","3,220.92","3,408.28","3,117.69","3.89B","4.96%"
"2013- 09- 01","3,218.20","3,097.65","3,248.52","3,077.13","3.23B","4.70%"
"2013- 08- 01","3,073.81","3,113.22","3,149.24","3,053.26","3.03B","-0.53%"
"2013- 07- 01","3,090.19","2,933.48","3,110.01","2,913.48","3.64B","6.21%"
"2013- 06- 01","2,909.60","2,984.59","3,007.30","2,825.18","3.86B","-2.42%"
"2013- 05- 01","2,981.76","2,885.35","3,053.51","2,868.76","3.66B","3.27%"
"2013- 04- 01","2,887.44","2,819.78","2,887.87","2,730.97","3.91B","2.44%"
"2013- 03- 01","2,818.69","2,725.38","2,820.67","2,713.49","3.20B","2.93%"
"2013- 02- 01","2,738.58","2,751.19","2,783.19","2,689.83","3.43B","0.26%"
"2013- 01- 01","2,731.53","2,727.67","2,769.31","2,703.75","3.58B","2.65%"
"2012- 12- 01","2,660.93","2,697.44","2,713.39","2,598.57","3.51B","-0.63%"
"2012- 11- 01","2,677.88","2,661.05","2,701.91","2,494.38","3.83B","1.13%"
"2012- 10- 01","2,647.92","2,811.45","2,845.97","2,636.83","3.64B","-5.40%"
"2012- 09- 01","2,799.19","2,766.93","2,878.38","2,744.29","3.49B","0.97%"
"2012- 08- 01","2,772.24","2,660.49","2,802.91","2,606.54","3.63B","4.91%"
"2012- 07- 01","2,642.53","2,616.52","2,663.12","2,522.89","3.73B","1.02%"
"2012- 06- 01","2,615.72","2,510.82","2,633.21","2,443.92","4.03B","3.60%"
"2012- 05- 01","2,524.87","2,719.25","2,756.81","2,474.70","4.51B","-7.30%"
"2012- 04- 01","2,723.68","2,752.25","2,795.35","2,628.96","3.82B","-1.15%"
"2012- 03- 01","2,755.27","2,634.20","2,794.00","2,575.13","4.00B","5.04%"
"2012- 02- 01","2,623.10","2,481.62","2,645.20","2,474.29","3.86B","6.29%"
"2012- 01- 01","2,467.95","2,323.16","2,481.51","2,307.56","4.05B","8.35%"
"2011- 12- 01","2,277.83","2,294.27","2,343.10","2,209.57","3.73B","-0.76%"
"2011- 11- 01","2,295.20","2,301.11","2,402.51","2,150.71","4.50B","-2.75%"
"2011- 10- 01","2,360.08","2,128.02","2,412.52","2,042.90","5.03B","10.33%"
"2011- 09- 01","2,139.18","2,245.01","2,337.70","2,112.84","5.59B","-4.54%"
"2011- 08- 01","2,241.01","2,391.42","2,396.50","2,034.92","6.93B","-5.15%"
"2011- 07- 01","2,362.81","2,326.16","2,438.44","2,318.20","4.26B","1.62%"
