날짜,시간,실제,예측,이전
2008- 10- 30,03:15,1.00%,1.00%,1.50%
2008- 10- 08,20:00,1.50%,0%,2.00%
2008- 09- 17,03:15,2.00%,2.00%,2.00%
2008- 08- 06,03:15,2.00%,0%,2.00%
2008- 06- 26,03:15,2.00%,2.00%,2.00%
2008- 05- 01,03:15,2.00%,2.00%,2.25%
2008- 03- 19,03:15,2.25%,2.50%,3.00%
2008- 01- 31,03:15,3.00%,0%,3.50%
2008- 01- 23,03:15,3.50%,0%,4.25%
2007- 12- 12,03:00,4.25%,0%,4.50%
2007- 11- 01,03:00,4.50%,0%,4.75%
2007- 09- 19,03:00,4.75%,0%,5.25%
2006- 06- 30,03:00,5.25%,0%,5.00%
2006- 05- 11,03:00,5.00%,0%,4.75%
2006- 03- 29,03:00,4.75%,0%,4.50%
2006- 02- 01,03:00,4.50%,0%,4.25%
2005- 12- 14,03:00,4.25%,0%,4.00%
2005- 11- 02,03:00,4.00%,0%,3.75%
2005- 09- 21,03:00,3.75%,0%,3.50%
2005- 08- 10,03:00,3.50%,0%,3.25%
2005- 07- 01,03:00,3.25%,0%,3.00%
2005- 05- 04,03:00,3.00%,0%,2.75%
2005- 03- 23,03:00,2.75%,0%,2.50%
2005- 02- 03,03:00,2.50%,0%,2.25%
2004- 12- 15,03:00,2.25%,0%,2.00%
2004- 11- 11,03:00,2.00%,0%,1.75%
2004- 09- 22,03:00,1.75%,0%,1.50%
2004- 08- 11,03:00,1.50%,0%,1.25%
2004- 07- 01,03:00,1.25%,0%,1.00%
