날짜,시간,실제,이전
2010- 01- 01,18:00,192.4,191.9
2010- 12- 01,18:00,191.9,194.1
2009- 11- 01,18:00,194.1,193.5
2009- 10- 01,18:00,193.5,192.9
2009- 09- 01,18:00,192.9,193.2
2009- 08- 01,18:00,193.2,193.5
2009- 07- 01,18:00,193.5,194.0
2009- 06- 01,18:00,194.0,194.2
2009- 05- 01,18:00,194.2,194.6
2009- 04- 01,18:00,194.6,195.8
2009- 03- 01,18:00,195.8,198.1
2009- 02- 01,18:00,198.1,197.7
2009- 01- 01,18:00,197.7,195.9
2009- 12- 01,18:00,195.9,196.1
2008- 11- 01,18:00,196.1,199.5
2008- 10- 01,18:00,199.5,201.6
2008- 09- 01,18:00,201.6,203.4
2008- 08- 01,18:00,203.4,205.2
2008- 07- 01,18:00,205.2,207.0
2008- 06- 01,18:00,207.0,208.4
2008- 05- 01,18:00,208.4,210.7
2008- 04- 01,18:00,210.7,213.0
2008- 03- 01,18:00,213.0,214.9
2008- 02- 01,18:00,214.9,216.0
2008- 01- 01,18:00,216.0,218.1
2008- 12- 01,18:00,218.1,219.1
2007- 11- 01,18:00,219.1,220.5
2007- 10- 01,18:00,220.5,222.2
2007- 09- 01,18:00,222.2,223.1
2007- 08- 01,18:00,223.1,224.0
2007- 07- 01,18:00,224.0,225.1
2007- 06- 01,18:00,225.1,225.9
2007- 05- 01,18:00,225.9,226.9
2007- 04- 01,18:00,226.9,227.0
2007- 03- 01,18:00,227.0,225.8
2007- 02- 01,18:00,225.8,226.0
2007- 01- 01,18:00,226.0,225.1
2007- 12- 01,18:00,225.1,224.9
2006- 11- 01,18:00,224.9,224.3
2006- 10- 01,18:00,224.3,224.0
2006- 09- 01,18:00,224.0,224.0
2006- 08- 01,18:00,224.0,223.4
2006- 07- 01,18:00,223.4,223.3
2006- 06- 01,18:00,223.3,223.3
2006- 05- 01,18:00,223.3,222.7
2006- 04- 01,18:00,222.7,222.4
2006- 03- 01,18:00,222.4,221.4
2006- 02- 01,18:00,221.4,221.0
2006- 01- 01,18:00,221.0,219.5
2006- 12- 01,18:00,219.5,218.2
2005- 11- 01,18:00,218.2,216.8
2005- 10- 01,18:00,216.8,215.6
2005- 09- 01,18:00,215.6,213.6
2005- 08- 01,18:00,213.6,212.0
2005- 07- 01,18:00,212.0,209.9
2005- 06- 01,18:00,209.9,208.2
2005- 05- 01,18:00,208.2,206.5
2005- 04- 01,18:00,206.5,204.7
2005- 03- 01,18:00,204.7,202.7
2005- 02- 01,18:00,202.7,201.2
